     76 [CAL|Radeon RX 580 Series|2|
     74 [CAL|ATI Radeon HD 6630M|1|
     74 [CAL|AMD Radeon(TM) R3 Graphics|1|
     73 [CAL|AMD Radeon Pro 455 Compute Engine|1|
     70 [CAL|AMD Radeon(TM) R5 M430|1|
     70 [CAL|AMD Radeon R9 M295X Compute Engine|1|
     68 [CAL|ATI Radeon HD 5870|1|
     68 [CAL|AMD Radeon R9 M380 Compute Engine|1|
     67 [CAL|Radeon RX 550 Series|1|
     63 [CAL|AMD Radeon Pro 555 Compute Engine|1|
     61 [CAL|AMD Radeon R5 M330|1|
     61 [CAL|AMD Radeon HD 8400|1|
     60 [CAL|Radeon (TM) RX 480 Graphics|2|
     60 [CAL|AMD Radeon(TM) RX Vega 11 Graphics|1|
     60 [CAL|AMD Radeon(TM) R5 240|1|
     60 [CAL|AMD Radeon Pro 460 Compute Engine|1|
     60 [CAL|AMD Radeon HD - FirePro D700 Compute Engine|2|
     59 [CAL|AMD Radeon R5 M230|1|
     56 [CAL|ATI Radeon HD 3800 (RV670)|1|
     54 [CAL|AMD Radeon Pro 575 Compute Engine|1|
     53 [CAL|Stoney|1|
     53 [CAL|Spectre|2|
     48 [CAL|AMD Radeon R7 240|1|
     47 [CAL|AMD Radeon HD 7870/7950/7970 series (Tahiti)|1|
     46 [CAL|Radeon (TM) R7 M445|1|
     46 [CAL|Radeon RX 560 Series|2|
     44 [CAL|AMD Radeon R5 M335|1|
     43 [CAL|AMD Radeon(TM) R6 Graphics|1|
     42 [CAL|AMD Radeon (TM) R5 M430|1|
     40 [CAL|AMD Radeon R7 A265|1|
     37 [CAL|Radeon(TM) 520|1|
     37 [CAL|AMD Radeon HD 8750M|1|
     37 [CAL|AMD Radeon HD 8670M|1|
     37 [CAL|AMD Radeon HD 7850/7870 series (Pitcairn)|2|
     36 [CAL|AMD Radeon (TM) RX 480|1|
     35 [CAL|AMD Radeon HD 6350/6450/7450/7470/R5 230 series (Caicos)|2|
     34 [CAL|Radeon 550 Series|1|
     33 [CAL|ATI Radeon HD5700 series (Juniper)|1|
     33 [CAL|ATI Radeon HD 2600 (RV630)|1|
     32 [CAL|AMD Radeon R7 M260|1|
     32 [CAL|AMD Radeon R7 250 Series|1|
     32 [CAL|AMD Radeon HD 6570/6670/7570/7670 series (Turks)|2|
     31 [CAL|Radeon (TM) R5 M430|1|
     31 [CAL|Radeon (TM) HD 8670M|1|
     31 [CAL|Oland|2|
     31 [CAL|ATI Radeon HD5x00 series (Redwood)|1|
     30 [CAL|AMD Radeon (TM) R5 M330|1|
     30 [CAL|AMD Radeon Pro 450 Compute Engine|1|
     29 [CAL|Radeon RX 570 Series|2|
     29 [CAL|AMD Radeon HD 8790M|1|
     28 [CAL|Carrizo|1|
     28 [CAL|ATI Radeon HD 5700/6750/6770 series (Juniper)|2|
     28 [CAL|AMD Radeon (TM) RX 480 Graphics|2|
     28 [CAL|AMD Radeon(TM) R7 350X|1|
     28 [CAL|AMD Radeon R7 M360|1|
     28 [CAL|AMD Radeon R7 M265 Series|1|
     27 [CAL|AMD Radeon(TM) R5 340X|1|
     26 [CAL|AMD Radeon (TM) R9 360|1|
     26 [CAL|AMD Radeon(TM) R7 M440|1|
     26 [CAL|AMD Radeon HD 8600/8700M|1|
     26 [CAL|AMD Radeon HD 8200 / R3 Series|1|
     25 [CAL|AMD Radeon HD 7900 Series|2|
     25 [CAL|AMD Radeon HD 6900 series (Cayman)|2|
     24 [CAL|Radeon(TM) 530|1|
     24 [CAL|Hainan|2|
     24 [CAL|AMD Radeon HD 8570|1|
     24 [CAL|AMD Radeon HD 7800 Series|2|
     23 [CAL|Radeon HD 4870|1|
     23 [CAL|AMD Radeon R5 M255|1|
     22 [CAL|ATI Radeon HD 5400/R5 210 series (Cedar)|2|
     22 [CAL|ASUS R9 280 Series|1|
     22 [CAL|AMD Radeon HD 8600M Series|1|
     22 [CAL|AMD Radeon HD 8240|1|
     21 [CAL|Radeon (TM) Pro WX 5100 Graphics|1|
